Samples	class
pos_01_Fistax_1-A,2_01_5675	Fistax
pos_01_Fistax_1-A,2_01_6578	Fistax
pos_01_Fistax_1-A,2_01_7105	Fistax
pos_01_Fistax_1-A,2_01_7396	Fistax
pos_02_Fistax_1-A,3_01_5676	Fistax
pos_02_Fistax_1-A,3_01_6579	Fistax
pos_02_Fistax_1-A,3_01_7106	Fistax
pos_02_Fistax_1-A,3_01_7398	Fistax
pos_03_Fistax_1-A,4_01_5677	Fistax
pos_03_Fistax_1-A,4_01_6580	Fistax
pos_03_Fistax_1-A,4_01_7107	Fistax
pos_03_Fistax_1-A,4_01_7399	Fistax
pos_04_Gripul_1-A,5_01_7400	Gripul
pos_04_Hypcup_1-A,5_01_6581	Hypcup
pos_04_Hypcup_1-A,5_01_7108	Hypcup
pos_04_Polstr_1-A,5_01_5678	Polstr
pos_05_Brarut_1-A,6_01_7109	Brarut
pos_05_Brarut_1-A,6_01_7401	Brarut
pos_05_Gripul_1-A,6_01_6582	Gripul
pos_05_Polstr_1-A,6_01_5679	Polstr
pos_06_Brarut_1-A,7_01_6583	Brarut
pos_06_Polstr_1-A,7_01_5680	Polstr
pos_06_Polstr_1-A,7_01_7110	Polstr
pos_06_Polstr_1-A,7_01_7402	Polstr
pos_07_Hypcup_1-A,8_01_5681	Hypcup
pos_07_Polstr_1-A,8_01_6584	Polstr
pos_07_Polstr_1-A,8_01_7111	Polstr
pos_07_Polstr_1-A,8_01_7403	Polstr
pos_08_Gripul_1-B,1_01_5684	Gripul
pos_08_Polstr_1-A,1_01_7114	Polstr
pos_08_Polstr_1-B,1_01_6587	Polstr
pos_08_Polstr_1-B,1_01_7406	Polstr
pos_09_Gripul_1-A,2_01_7115	Gripul
pos_09_Hypcup_1-B,2_01_7407	Hypcup
pos_09_Plaund_1-B,2_01_5685	Plaund
pos_09_Polstr_1-B,2_01_6588	Polstr
pos_10_Brarut_1-B,3_01_7408	Brarut
pos_10_Hypcup_1-A,3_01_7116	Hypcup
pos_10_Hypcup_1-B,3_01_6589	Hypcup
pos_10_Plaund_1-B,3_01_5686	Plaund
pos_11_Brarut_1-B,4_01_7409	Brarut
pos_11_Gripul_1-B,4_01_6590	Gripul
pos_11_Plaund_1-A,4_01_7117	Plaund
pos_11_Plaund_1-B,4_01_5687	Plaund
pos_12_Brarut_1-B,5_01_6591	Brarut
pos_12_Plaund_1-A,5_01_7118	Plaund
pos_12_Plaund_1-B,5_01_7410	Plaund
pos_12_Rhysqu_1-B,5_01_5688	Rhysqu
pos_13_Plaund_1-A,6_01_7119	Plaund
pos_13_Plaund_1-B,6_01_6592	Plaund
